pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate
Kepler-52 b,Kepler-52,7.87740709,2.7,,,,4242.0,0.63,0.66,Transit,2012,,2016-05-06
Kepler-52 b,Kepler-52,7.88,2.4,,,,4163.9,0.63,0.624,Transit,2012,,2024-06-10
Kepler-52 b,Kepler-52,7.87742645,,,,,4116.0,0.675624,0.64,Transit,2012,,2016-07-26
Kepler-52 b,Kepler-52,,2.176,,,,4127.0,0.621,,Transit,2012,,2018-09-04
Kepler-52 b,Kepler-52,7.877356,2.21,,0.0,541.0,4222.0,0.548,0.577,Transit,2012,0.065,2013-10-28
Kepler-52 b,Kepler-52,7.87740709,2.33,,0.0,500.0,3898.0,0.54,0.56,Transit,2012,0.0639,2015-08-25
Kepler-52 b,Kepler-52,7.8774163,,,,,4116.0,0.675624,0.64,Transit,2012,,2018-09-25
Kepler-52 b,Kepler-52,7.87740709,2.33,,0.0,500.0,3898.0,0.54,0.56,Transit,2012,0.0639,2014-11-18
Kepler-197 d,Kepler-197,15.67757,1.36,,0.0,822.0,5877.0,1.18,0.864,Transit,2014,0.117,2013-10-28
Kepler-197 d,Kepler-197,15.67750191,1.42,,0.0,810.0,6003.0,1.109,0.902,Transit,2014,0.1185,2017-05-08
Kepler-197 d,Kepler-197,15.67756112,1.191,,0.0,,,,0.857,Transit,2014,0.116444539,2024-02-21
Kepler-197 d,Kepler-197,15.677,,,,,,1.12,0.92,Transit,2014,,2014-05-28
Kepler-197 d,Kepler-197,15.67756112,1.15,,,,6180.0,1.17,1.01,Transit,2014,,2016-05-06
Kepler-197 d,Kepler-197,15.67770919,,,,,5963.52,1.20944,1.093,Transit,2014,,2016-07-26
Kepler-197 d,Kepler-197,15.67756112,1.191,,,,5945.0,1.163,0.857,Transit,2014,0.11646,2024-12-05
Kepler-197 d,Kepler-197,15.677546605,,,,,5963.52,1.20944,1.093,Transit,2014,,2019-04-16
Kepler-197 d,Kepler-197,15.677563,1.22,,,,6004.0,1.12,,Transit,2014,0.119,2014-05-14
Kepler-197 d,Kepler-197,15.67756112,1.15,,0.0,811.0,6004.0,1.12,0.922,Transit,2014,0.1194,2015-08-25
Kepler-197 d,Kepler-197,15.67750191,,,,,5963.52,1.20944,1.093,Transit,2014,,2018-09-25
Kepler-197 d,Kepler-197,15.67756112,1.15,,0.0,811.0,6004.0,1.12,0.922,Transit,2014,0.1194,2014-11-18
Kepler-197 d,Kepler-197,15.67787,1.244,,0.03,,5963.52,1.20944,1.093,Transit,2014,,2015-05-21
Kepler-197 d,Kepler-197,15.67756112,1.15,,0.0,811.0,6004.0,1.12,0.922,Transit,2014,0.1194,2014-11-21
Kepler-197 d,Kepler-197,,1.5,,,,5945.0,1.169,,Transit,2014,,2018-09-04
K2-183 d,K2-183,22.631964,2.86,,,615.0,5519.0,0.97,0.93,Transit,2018,0.1527,2018-10-24
K2-183 d,K2-183,22.634594,17.4,,,,,0.92,,Transit,2018,,2017-12-14
K2-183 d,K2-183,22.620344,2.3,,,,5482.0,0.87,,Transit,2018,,2022-03-28
K2-183 d,K2-183,22.629496,2.54112738,,,,5482.0,0.873283,0.942219,Transit,2018,,2018-10-24
K2-183 d,K2-183,22.6302,5.2,,,,,0.984,,Transit,2018,,2019-09-05
K2-187 e,K2-187,13.60496,2.69,,,,,0.919,,Transit,2018,,2019-09-05
K2-187 e,K2-187,13.606629,1.9,,,,5438.0,0.83,,Transit,2018,,2022-03-28
