pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate,pl_vol_earth,pl_mass_kg,pl_density,insolation_flux
Kepler-228 c,Kepler-228,4.13443512,2.77,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2017-05-08,23022407235776.227,,,430.500414103927
Kepler-228 c,Kepler-228,4.134403,2.8,,0.0,1138.0,6014.0,0.94,1.04,Transit,2014,0.051,2013-10-28,23778558238597.98,,,400.3720579628136
Kepler-228 c,Kepler-228,4.13443005,3.02,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2014-11-18,29835426700488.04,,,430.500414103927
Kepler-228 c,Kepler-228,4.13443005,3.02,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2015-08-25,29835426700488.04,,,430.500414103927
Kepler-20 c,Kepler-20,10.8540774,2.894,11.1,0.076,828.0,5495.0,0.9164,0.929,Transit,2011,0.0936,2023-04-17,26254696658312.633,6.6267e+25,2524005546985.395,78.73792416158103
Kepler-20 c,Kepler-20,10.854097835,3.04,,,797.0,5569.0,0.93,0.95,Transit,2011,,2017-03-28,30432117729874.02,,,
Kepler-20 c,Kepler-20,10.854097835,3.03,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2014-11-21,30132787580093.6,,,81.41563568696658
Kepler-20 c,Kepler-20,10.854092,3.07,16.1,0.4,713.0,5455.0,0.944,0.912,Transit,2011,0.093,2017-03-28,31341988792679.188,9.611700000000002e+25,3066716685906.38,82.19621538672206
Kepler-20 c,Kepler-20,10.8540894,3.17,,0.0,763.0,5443.0,0.939,0.901,Transit,2011,0.093,2013-10-28,34505570417811.4,,,80.61453161660737
Kepler-20 c,Kepler-20,10.85409784,2.88,13.55003079,0.0,797.0,,,0.942,Transit,2011,0.0940486658,2024-02-21,25875508179126.004,8.08936838163e+25,3126264545465.338,
Kepler-20 c,Kepler-20,10.854095934,2.99,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2017-05-08,28955094690305.242,,,81.41563568696658
Kepler-20 c,Kepler-20,,2.868,,,797.0,5508.0,0.887,,Transit,2011,,2018-09-04,25553410137823.03,,,
Kepler-20 c,Kepler-20,10.854097835,3.03,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2015-08-25,30132787580093.6,,,81.41563568696658
Kepler-20 c,Kepler-20,10.85409089,3.047,12.75,0.16,772.0,5495.0,0.9639,0.948,Transit,2011,0.0949,2017-03-28,30642824030818.156,7.61175e+25,2484023663205.6816,84.74167286253946
Kepler-20 c,Kepler-20,10.854097835,2.88,,,797.0,5508.0,0.88,0.942,Transit,2011,0.09408,2024-12-05,25875508179126.004,,,72.55062590118521
Kepler-20 c,Kepler-20,10.854097835,3.03,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2014-11-18,30132787580093.6,,,81.41563568696658
Kepler-166 d,Kepler-166,1.554003928,1.58,,0.0,1326.0,5413.0,0.759,0.819,Transit,2016,0.0246,2015-08-25,4272506040597.7085,,,736.3090802201108
Kepler-166 d,Kepler-166,1.554003928,1.73,,,797.0,5350.0,0.83,0.88,Transit,2016,,2016-05-06,5608538867869.845,,,
Kepler-166 d,Kepler-166,1.554003928,1.602,,,797.0,5175.0,0.771,0.811,Transit,2016,0.02449,2024-12-05,4453474395881.417,,,640.4235780633637
Kepler-166 d,Kepler-166,1.554003928,1.58,,0.0,1326.0,5413.0,0.759,0.819,Transit,2016,0.0246,2014-11-18,4272506040597.7085,,,736.3090802201108
Kepler-166 d,Kepler-166,1.554003928,1.58,,0.0,1326.0,5413.0,0.759,0.819,Transit,2016,0.0246,2014-11-21,4272506040597.7085,,,736.3090802201108
Kepler-166 d,Kepler-166,1.554001,1.7,,0.0,1336.0,5432.0,0.78,0.879,Transit,2016,0.025,2013-10-28,5321795582463.186,,,763.5596029315357
Kepler-166 d,Kepler-166,,1.667,,,797.0,5175.0,0.782,,Transit,2016,,2018-09-04,5017856347172.948,,,
Kepler-166 d,Kepler-166,1.55400389,1.59,,0.0,1313.0,5409.0,0.746,0.835,Transit,2016,0.0246,2017-05-08,4354144096299.6235,,,709.2022043682952
Kepler-52 b,Kepler-52,7.8774163,2.16,,0.0,553.0,4126.0,0.615,0.633,Transit,2012,0.0665,2017-05-08,10916230013068.785,,,22.331533440063414
Kepler-52 b,Kepler-52,7.87740709,2.33,,0.0,500.0,3898.0,0.54,0.56,Transit,2012,0.0639,2014-11-21,13701849331912.914,,,14.85415162739849
Kepler-52 b,Kepler-52,7.8773565,2.1,135.0,,797.0,4075.0,0.52,0.54,Transit,2012,,2021-09-22,10031579256908.525,8.0595e+26,80341288182013.83,
Kepler-52 b,Kepler-52,7.877,2.52,79.6,,797.0,,0.623,0.66,Transit,2012,,2014-05-28,17334568955937.93,4.75212e+26,27414122682134.35,
Kepler-52 b,Kepler-52,,2.516,,,797.0,4127.0,0.623,0.66,Transit,2012,,2016-02-10,17252154344864.5,,,
